,Fecha,PM10,PM2.5,SO2,NO2,O3
169,2024-09-26,13.40083333,6.91416667,0.67208333,,26.39791667
170,2024-09-25,15.06916667,8.5475,0.46625,,28.185
171,2024-09-24,15.14833333,8.19166667,0.42833333,,26.38708333
172,2024-09-23,11.62958333,6.74333333,0.41,,37.4975
173,2024-09-22,12.28782609,7.95695652,0.81913043,19.49136364,38.04391304
174,2024-09-21,20.24875,14.57458333,0.315,32.17375,37.67791667
175,2024-09-20,17.49583333,11.16708333,1.12333333,29.25875,38.21041667
176,2024-09-19,19.34625,12.07375,3.66909091,41.63454545,23.565
177,2024-09-18,19.82458333,11.62041667,0.95083333,51.52583333,24.74291667
178,2024-09-17,16.1725,8.79583333,0.65083333,45.28916667,23.05958333
179,2024-09-16,14.36875,8.38583333,0.65363636,36.12458333,24.37347826
180,2024-09-15,14.79347826,9.44652174,0.77913043,31.11956522,30.43913043
181,2024-09-14,18.63,11.61041667,0.29541667,37.26083333,26.09083333
182,2024-09-13,25.06041667,17.54833333,0.54083333,43.69541667,26.67875
183,2024-09-12,21.95416667,13.71666667,1.15208333,42.44791667,29.98125
184,2024-09-11,24.74166667,15.88583333,1.08291667,46.7375,29.29125
185,2024-09-10,25.80708333,16.40708333,0.51375,44.16583333,28.86541667
186,2024-09-09,22.68875,14.3125,0.40916667,38.86875,32.50583333
187,2024-09-08,20.83434783,13.42217391,1.31521739,33.41652174,34.69347826
188,2024-09-07,17.64833333,8.72875,1.34583333,36.32333333,39.32
189,2024-09-06,23.71208333,16.68083333,0.81375,38.67333333,29.13708333
190,2024-09-05,23.18458333,17.26958333,1.51136364,28.155,25.70173913
191,2024-09-04,16.9225,11.21416667,1.55083333,23.82166667,34.08166667
192,2024-09-03,18.76208333,13.35666667,1.3875,25.485,42.66291667
193,2024-09-02,14.93916667,9.55208333,1.35083333,27.4975,32.68416667
194,2024-09-01,21.11782609,15.75434783,0.88521739,25.65043478,34.95
195,2024-08-31,23.21333333,15.8925,1.66958333,35.28416667,27.5925
196,2024-08-30,21.19125,13.7325,1.90333333,35.03458333,29.48833333
197,2024-08-29,22.515,13.10083333,1.61541667,39.4475,24.41625
198,2024-08-28,20.44708333,12.20375,1.42291667,37.67791667,26.07166667
199,2024-08-27,16.89875,9.85458333,0.79375,29.86541667,26.42416667
200,2024-08-26,15.71833333,8.72791667,0.29,32.8475,14.63666667
201,2024-08-25,14.38043478,8.59826087,0.27869565,26.47130435,20.3926087
202,2024-08-24,14.17541667,7.60541667,0.35541667,31.715,20.41833333
203,2024-08-23,16.42458333,8.88291667,0.3,32.253125,30.26
204,2024-08-22,16.97375,10.70791667,0.96136364,24.499,42.16086957
205,2024-08-21,23.00541667,15.05041667,1.82916667,31.20583333,35.12125
206,2024-08-20,25.69708333,16.48916667,0.71166667,33.58722222,27.79833333
207,2024-08-19,20.70708333,14.45458333,1.29958333,26.58958333,36.82416667
208,2024-08-18,18.19521739,11.77695652,0.95608696,26.08043478,37.51173913
209,2024-08-17,20.32208333,12.96083333,0.7075,30.3375,32.12958333
210,2024-08-16,23.94,15.50875,1.02,36.00291667,28.50333333
211,2024-08-15,17.07416667,10.48833333,0.87875,28.30705882,36.56
212,2024-08-14,13.67291667,7.22791667,0.58041667,30.37173913,27.21291667
213,2024-08-13,13.54291667,7.79166667,1.30125,25.58625,23.445
214,2024-08-12,14.5025,7.34916667,0.90708333,31.1675,25.11708333
215,2024-08-11,11.18086957,6.56913043,0.46304348,22.42695652,26.86869565
216,2024-08-10,15.11208333,8.44208333,1.36708333,30.33583333,22.17916667
217,2024-08-09,18.4025,12.15083333,0.2975,31.01208333,21.95291667
218,2024-08-08,15.77958333,9.69916667,1.46391304,33.40708333,21.90521739
219,2024-08-07,10.08541667,5.12,0.61875,31.59208333,29.76625
220,2024-08-06,15.01666667,8.14458333,1.14958333,30.60541667,24.36666667
221,2024-08-05,23.51583333,13.28708333,0.96208333,31.27416667,19.53916667
222,2024-08-04,17.81608696,10.71434783,0.80043478,31.91,31.35086957
223,2024-08-03,19.85041667,12.78458333,1.46625,,31.695
224,2024-08-02,17.22458333,10.53625,1.37625,26.87428571,35.23833333
225,2024-08-01,20.41583333,12.0025,1.56041667,33.41958333,27.97041667
226,2024-07-31,16.81416667,7.93583333,2.41916667,31.59208333,24.3875
227,2024-07-30,14.88708333,6.05041667,0.57541667,30.60541667,7.91416667
228,2024-07-29,14.96333333,7.00166667,0.485,31.27416667,21.27956522
229,2024-07-28,14.29695652,8.84782609,1.21043478,21.63086957,28.54956522
230,2024-07-27,16.76666667,9.43166667,1.45913043,34.54625,16.93173913
231,2024-07-26,15.66833333,9.02125,1.03181818,29.9075,26.72875
232,2024-07-25,19.04375,12.0375,0.38857143,29.47083333,23.47375
233,2024-07-24,19.18666667,11.09916667,1.90952381,30.6725,25.515
234,2024-07-23,19.83,11.49208333,1.2273913,30.76375,24.81416667
235,2024-07-22,16.20708333,9.63041667,1.9005,30.00071429,21.90380952
236,2024-07-21,14.80391304,9.52434783,1.65181818,,29.02869565
237,2024-07-20,13.37208333,7.75083333,1.43157895,,27.38608696
238,2024-07-19,15.02208333,8.29708333,0.71761905,26.87428571,15.56090909
239,2024-07-18,15.12083333,7.64583333,1.78666667,33.41958333,19.23636364
240,2024-07-17,12.45125,5.77916667,1.77818182,31.59208333,17.19458333
241,2024-07-16,12.58,6.00416667,1.7345,30.60541667,20.69875
242,2024-07-15,16.23791667,8.0775,0.9135,31.27416667,17.38173913
243,2024-07-14,19.8726087,11.5326087,1.27826087,26.47,32.41173913
244,2024-07-13,31.4975,16.63583333,1.80782609,32.46,27.69125
245,2024-07-12,31.0925,16.03541667,1.6325,38.14958333,19.50458333
246,2024-07-11,19.46625,10.00958333,3.25291667,28.89833333,31.77916667
247,2024-07-10,15.96375,8.53916667,1.64041667,32.98708333,27.92416667
248,2024-07-09,14.075,7.30625,1.36285714,28.75416667,23.73666667
249,2024-07-08,12.79375,6.37875,1.36428571,32.46083333,19.00833333
250,2024-07-07,11.62478261,6.28347826,1.50722222,21.99956522,22.86869565
251,2024-07-06,12.6675,6.63791667,1.559,25.155,20.2375
252,2024-07-05,12.47708333,6.12333333,1.76777778,28.98083333,11.52625
253,2024-07-04,9.56875,4.54,0.78130435,,21.88875
254,2024-07-03,11.3025,6.15958333,1.33608696,,19.69208333
255,2024-07-02,12.17958333,6.00958333,0.90045455,,21.82083333
256,2024-07-01,12.08208333,6.49166667,1.43875,,22.73791667
257,2024-06-30,16.34434783,9.12347826,1.18173913,21.72454545,21.50304348
258,2024-06-29,12.87125,6.8475,1.35636364,23.4325,23.91375
259,2024-06-28,13.23304348,6.92782609,0.549,25.48136364,14.04625
260,2024-06-27,13.33666667,6.80611111,0.72375,24.19,21.43722222
261,2024-06-26,14.94333333,7.02083333,1.3525,,16.15391304
262,2024-06-25,12.84125,6.42166667,0.83909091,,18.695
263,2024-06-24,10.89291667,5.28541667,1.24458333,,15.9625
264,2024-06-23,9.35086957,5.18347826,1.96095238,,22.06347826
265,2024-06-22,14.3225,7.6075,1.70166667,,23.07916667
266,2024-06-21,14.67458333,8.20958333,1.82454545,29.11933333,18.56708333
267,2024-06-20,11.5875,6.18875,1.48909091,32.55375,26.05166667
268,2024-06-19,10.96642857,5.13285714,3.465,23.98666667,33.19714286
269,2024-06-18,9.665,5.23,,29.19666667,40.95666667
270,2024-06-17,16.575,7.595,,18.32,41.585
271,2024-06-16,12.59652174,7.57956522,1.03157895,20.83913043,17.5945
272,2024-06-15,11.56833333,6.50875,1.54,32.47304348,21.659
273,2024-06-14,15.92708333,8.68708333,0.85125,33.53130435,18.20047619
274,2024-06-13,14.7325,7.27041667,0.950625,25.57304348,18.94545455
275,2024-06-12,14.23666667,7.2325,1.02555556,21.02190476,19.639
276,2024-06-11,11.80071429,5.81214286,,24.18785714,21.54692308
277,2024-06-10,13.5775,5.43,,43.21,5.345
278,2024-06-09,13.77304348,8.54304348,1.13875,31.76608696,20.54684211
279,2024-06-08,15.15583333,8.68583333,1.49214286,24.3325,21.25705882
280,2024-06-07,14.37833333,7.45458333,1.34615385,24.63208333,15.22294118
281,2024-06-06,10.94304348,5.54,4.28166667,19.48625,13.82421053
282,2024-06-05,15.03708333,7.91,0.63529412,23.96785714,15.71045455
283,2024-06-04,14.24941176,6.35941176,,27.43785714,18.138125
284,2024-06-01,9.22,3.1,0.56,14.3628,4.16
285,2024-05-31,17.39166667,9.50416667,0.58333333,28.70043478,13.21304348
286,2024-05-30,11.52083333,5.75,0.58571429,23.10652174,16.99166667
287,2024-05-29,9.7625,4.90416667,0.9173913,22.94186957,15.925
288,2024-05-28,10.22916667,4.35,0.475,23.37152381,30.01304348
289,2024-05-27,11.5,6.175,1.28181818,23.9358,26.17826087
290,2024-05-26,15.11304348,9.39130435,1.0625,20.28833333,19.99130435
291,2024-05-25,15.02083333,8.15,0.54285714,22.8666,16.30952381
292,2024-05-24,14.89166667,8.41666667,0.74705882,23.22561111,19.53636364
293,2024-05-23,14.61666667,7.6375,0.93125,22.31675,21.43157895
294,2024-05-22,12.5125,5.89166667,1.1,26.62121053,25.74090909
295,2024-05-21,14.9,7.94166667,2.06,22.21507692,17.28947368
296,2024-05-20,18.8125,9.12916667,0.7,29.774375,24.1875
297,2024-05-19,15.54782609,8.66086957,1.50434783,21.30704348,26.10434783
298,2024-05-18,17.94583333,9.5125,1.28636364,28.96620833,22.2875
299,2024-05-17,16.625,8.87916667,1.20416667,24.4535,25.65833333
300,2024-05-16,17.78333333,9.74583333,1.47916667,27.176375,25.1375
301,2024-05-15,15.28333333,8.1375,0.59444444,24.68795833,19.69166667
302,2024-05-14,13.525,6.27916667,1.725,29.02454167,22.425
303,2024-05-13,12.67916667,5.2625,1.0875,19.66266667,19.59583333
304,2024-05-12,14.74782609,7.35217391,,24.2786087,12.78695652
305,2024-05-11,15.125,6.9125,,25.735375,18.2625
306,2024-05-10,16.07083333,7.52083333,,24.49505263,19.82608696
307,2024-05-09,13.57916667,5.96666667,,25.15627273,13.51666667
308,2024-05-08,13.7875,6.925,,24.86905,17.14583333
309,2024-05-07,17.3375,8.15,,28.18152381,10.15454545
310,2024-05-06,14.425,6.4375,,22.6547,22.0375
311,2024-05-05,11.73913043,7.03913043,0.48571429,19.46152174,21.56521739
312,2024-05-04,10.99583333,6.68333333,0.85833333,28.270875,26.06666667
313,2024-05-03,15.40833333,8.30416667,0.85789474,25.267875,32.54583333
314,2024-05-02,12.44583333,7.2375,0.86521739,29.034375,31.4125
315,2024-05-01,18.2875,9.98333333,1.54583333,18.76425,36.17083333
316,2024-04-30,18.05294118,8.34117647,0.94,32.26364706,10.34117647
317,2024-04-29,9.88333333,5.42916667,1.05,24.14370833,27.97916667
318,2024-04-28,14.42173913,8.2826087,0.93181818,20.2923913,29.66086957
319,2024-04-27,15.1375,8.02083333,0.46428571,25.69483333,22.30833333
320,2024-04-26,18.75416667,10.14583333,0.89090909,35.11579167,23.1
321,2024-04-25,17.04583333,9.25,1.5375,35.22395833,27.8125
322,2024-04-24,14.62083333,8.06666667,0.4875,30.297625,29.60416667
323,2024-04-23,15.78888889,9.86666667,0.76666667,27.69675,46.73333333
324,2024-04-22,17.65714286,9.69047619,0.67142857,33.37352381,21.07619048
325,2024-04-21,12.77391304,7.72173913,0.86956522,24.36978261,34.75217391
326,2024-04-20,17.2625,9.95,0.99166667,28.21570833,43.25833333
327,2024-04-19,26.96666667,19.90416667,0.51666667,30.02141667,33.51666667
328,2024-04-18,38.20833333,29.4125,0.71363636,31.51466667,33.05
329,2024-04-17,43.75,33.49444444,2.2,29.81244444,43.80588235
330,2024-04-16,45.0625,32.68333333,1.05,23.62914286,50.04583333
331,2024-04-15,48.84583333,35.98333333,1.03636364,30.46525,48.6375
332,2024-04-14,51.3,39.27826087,1.43043478,27.06091304,56.60434783
333,2024-04-13,51.43333333,37.92083333,1.6875,34.15454167,62.14583333
334,2024-04-12,48.00833333,33.01666667,0.82105263,41.78245833,46.92916667
335,2024-04-11,42.65833333,29.75833333,1.10833333,36.51791667,48.3625
336,2024-04-10,32.71666667,20.87083333,1.62083333,36.87883333,47.60833333
337,2024-04-09,31.05833333,20.3875,1.37,34.46668182,32.75909091
338,2024-04-08,29.93333333,19.95,0.82916667,35.64491667,37.75416667
339,2024-04-07,25.10869565,18.24347826,0.88666667,28.34604348,42.91304348
340,2024-04-06,22.82916667,14.2375,0.62727273,38.97929167,31.55833333
341,2024-04-05,22.7,14.775,1.6875,33.17270833,23.90416667
342,2024-04-04,24.29166667,16.77083333,0.91304348,30.98816667,20.80416667
343,2024-04-03,27.52083333,20.05833333,0.70454545,31.52095455,23.2125
344,2024-04-02,27.8125,20.89583333,0.54210526,31.86595455,30.82916667
345,2024-04-01,28.0625,21.10416667,0.57777778,31.53768182,31.45416667
346,2024-03-31,26.74347826,21.8,0.56666667,20.92452174,47.5173913
347,2024-03-30,43.2875,34.29583333,1.06666667,16.40904167,65.69166667
348,2024-03-29,34.78333333,27.1625,1.11666667,10.61429167,67.425
349,2024-03-28,35.4375,26.47916667,0.87142857,19.6085,51.81666667
350,2024-03-27,36.20416667,25.6125,0.69583333,24.91275,48.3875
351,2024-03-26,27.8125,20.0125,0.65555556,22.22166667,50.42608696
352,2024-03-25,32.51666667,23.38333333,0.68095238,13.64641667,49.625
353,2024-03-24,35.51582609,27.13478261,0.72173913,17.94969565,52.2826087
354,2024-03-23,45.67941667,35.15,0.40666667,26.33683333,63.67916667
355,2024-03-22,33.93695833,24.45833333,0.58,33.382875,52.38333333
356,2024-03-21,20.57829167,15.2125,1.26363636,24.81672727,55.03043478
357,2024-03-20,37.25841667,27.40833333,1.18095238,28.41775,43.97083333
358,2024-03-19,43.10695833,33.12916667,0.73684211,33.99141667,40.1625
359,2024-03-18,34.67525,25.44583333,0.82727273,32.61133333,53.43333333
360,2024-03-17,39.22869565,30.97826087,1.35652174,22.21178261,54.69130435
361,2024-03-16,32.79166667,22.64166667,0.73043478,30.969125,49.36666667
362,2024-03-15,44.475,34.41666667,0.79047619,36.85579167,46.44166667
363,2024-03-14,42.63333333,33.61666667,0.87916667,30.46566667,55.18333333
364,2024-03-13,41.425,31.10416667,0.8047619,24.90158333,61.55833333
365,2024-03-12,39.92083333,29.8625,0.635,31.76429167,46.74583333
366,2024-03-11,38.075,29.19583333,0.66363636,26.720125,49.55416667
367,2024-03-10,35.74347826,28.37391304,0.91578947,27.68,51.50869565
368,2024-03-09,39.42083333,31.00833333,0.475,29.38258333,39.09583333
369,2024-03-08,43.04583333,34.06666667,0.50454545,30.671125,50.5375
370,2024-03-07,45.35833333,33.71666667,1.0826087,32.4165,47.59583333
371,2024-03-06,38.62916667,29.54166667,0.46470588,30.38204167,56.37083333
372,2024-03-05,35.3625,24.95,1.71363636,23.11509524,49.94761905
373,2024-03-04,35.28333333,25.05833333,1.43333333,24.87541667,61.8875
374,2024-03-03,39.16956522,28.09130435,1.57826087,20.29230435,60.12173913
375,2024-03-02,42.48333333,27.32083333,1.125,31.11079167,52.64583333
376,2024-03-01,43.93333333,28.06666667,1.46666667,33.12633333,52.10833333
377,2024-02-29,45.925,29.88333333,1.29166667,38.63445833,46.4
378,2024-02-28,44.45416667,29.9125,1.2375,35.17454167,43.08333333
379,2024-02-27,34.86666667,24.85,1.20833333,30.077625,47.9125
380,2024-02-26,30.46666667,22.1125,0.98333333,25.119,39.8375
